code,name,k_code,k_name,currency,postfix
011790,SKC,032004,Manufacture of Other Chemical Products,KRW,KRX
005610,SPC SAMLIP,031007,Manufacture of Other Food Products,KRW,KRX
003410,SSANGYONG CEMENT,032303,"Manufacture of Cement, Lime and Plaster and Its Products",KRW,KRX
145990,SYC,031007,Manufacture of Other Food Products,KRW,KRX
003520,YUNGJIN PHARM,032102,Manufacture of Medicaments,KRW,KRX
003000,BUKWANG PHARM,032102,Manufacture of Medicaments,KRW,KRX
000210,DAELIM IND,064102,Heavy Construction,KRW,KRX
001680,DAESANG,031007,Manufacture of Other Food Products,KRW,KRX
069620,DAEWOONG PHARMA,032102,Manufacture of Medicaments,KRW,KRX
170900,DONG-A ST,032102,Manufacture of Medicaments,KRW,KRX
049770,DONGWON F &amp; B,031007,Manufacture of Other Food Products,KRW,KRX
034020,DSH,032901,Manufacture of General Purpose Machinery,KRW,KRX
042670,DSINFRA,032902,Manufacture of Special-Purpose Machinery,KRW,KRX
047040,DWEC,064101,Building Construction,KRW,KRX
082740,Doosan Engine,032901,Manufacture of General Purpose Machinery,KRW,KRX
114090,GKL,189102,Amusement and theme Park Operation,KRW,KRX
002960,HANKOOK SHELL OIL,031902,Manufacture of Refined Petroleum Products,KRW,KRX
009240,HANSSEM,074604,Wholesale of Household Goods,KRW,KRX
000140,HITEJINRO HOLDINGS,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
079980,HUVIS,032005,Manufacture of Man-Made Fibers,KRW,KRX
000720,HYUNDAI ENG &amp; CONST,064102,Heavy Construction,KRW,KRX
079430,HYUNDAI LIVART,033201,Manufacture of Furniture,KRW,KRX
010620,HYUNDAI MIPO DOCK,033101,Building of Ships and Boats,KRW,KRX
012330,HYUNDAI MOBIS,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,KRW,KRX
018880,Hanon Systems,032901,Manufacture of General Purpose Machinery,KRW,KRX
069260,Huchems,032004,Manufacture of Other Chemical Products,KRW,KRX
007570,ILYANG PHARM,032102,Manufacture of Medicaments,KRW,KRX
002380,KCC,032004,Manufacture of Other Chemical Products,KRW,KRX
010130,KOR ZINC,032402,Manufacture of Basic Precious and Non-ferrous Metals,KRW,KRX
161890,KOREA KOLMAR,032004,Manufacture of Other Chemical Products,KRW,KRX
030200,KT,106102,Telecommunications,KRW,KRX
033780,KT&amp;G,031201,Manufacture of Tobacco Products,KRW,KRX
011780,KUMHO PETRO CHEM,032001,Manufacture of Basic Chemicals,KRW,KRX
035250,"Kangwon Land, Inc.",189102,Amusement and theme Park Operation,KRW,KRX
115390,L&amp;L,032202,Manufacture of Plastic Products,KRW,KRX
002270,LOTTE FOOD,031005,Manufacture of Dairy Products and edible Ice Cakes,KRW,KRX
009680,MOTONIC,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,KRW,KRX
033920,Muhak,031101,Manufacture of Alcoholic Beverages,KRW,KRX
036570,NCsoft Corporation,105802,Software Development and Supply,KRW,KRX
007310,OTTOGI,031007,Manufacture of Other Food Products,KRW,KRX
003570,S&amp;T Dynamics,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,KRW,KRX
064960,S&amp;T MOTIV,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,KRW,KRX
009150,SAMSUNG ELEC MECH,032602,Manufacture of Electronic Components,KRW,KRX
028050,SAMSUNG ENG,137201,"Architectural, Engineering and Related Technical Services",KRW,KRX
018260,SAMSUNG SDS,106201,"Computer programming, System Integration and Management Services",KRW,KRX
029530,SINDOH,032603,Manufacture of Computers and Peripheral Equipment,KRW,KRX
034730,SK,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
006120,SK CHEM,032005,Manufacture of Man-Made Fibers,KRW,KRX
096770,SK Innovation,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
003620,SSANGYONG MTR,033001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,KRW,KRX
000070,Samyang Holdings,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
084870,TBH GLOBAL,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel",KRW,KRX
000030,Woori Bank,116401,Banking and Savings Institutions,KRW,KRX
000100,YUHAN,032102,Manufacture of Medicaments,KRW,KRX
